mπ,redp,imp
130.0,-0.6414198319810112,-13.30357073937155
133.1,-0.49565586422795604,-13.256366009057684
136.21,-0.3473605751858031,-13.207502588189461
139.31,-0.19655705927607414,-13.154459205202288
142.41,-0.04380293064605212,-13.096571672824751
145.52,0.11122650500260534,-13.038825276288504
148.62,0.2683043002730301,-12.97639577977391
151.72,0.4278167566612865,-12.909835868403013
154.83,0.5887672178389494,-12.842178920029435
157.93,0.7516626210770028,-12.767793381698468
161.03,0.9163574701044581,-12.692678049174077
164.14,1.0835806648296966,-12.61165006283436
167.24,1.251257490045873,-12.528374987371647
170.34,1.4205517123502887,-12.440287722596219
173.45,1.592114818645996,-12.349911832054891
176.55,1.7645619012780571,-12.254069464720688
179.66,1.9390057690829963,-12.15564576826521
182.76,2.1131986213740674,-12.050922809583234
185.86,2.2899569524558956,-11.945760748205075
188.97,2.4670451975293872,-11.833266777666312
192.07,2.644580796370974,-11.716946028563985
195.17,2.8216840446123115,-11.594649874765384
198.28,3.0016263357276785,-11.470364223439935
201.38,3.180354850678441,-11.34117672602389
204.48,3.360815849393475,-11.207623439332195
207.59,3.5407536844447804,-11.068321295103573
210.69,3.7205825840499074,-10.925074952421753
213.79,3.9001128721085934,-10.776362984336158
216.9,4.08088766854803,-10.624530499098196
220.0,4.26112127010947,-10.46853344145501
