lv1,lv2,lv3,lv4
1382.504640646111,1452.1586264808398,1533.8350257937225,1557.2793417057094
1380.815628794529,1449.5615002142197,1527.408498728085,1552.6537572067425
1379.9749464844826,1449.3770733017745,1525.3297412041422,1551.6281436947638
1380.7015360985843,1449.8857421396274,1526.9857349302945,1552.9435833669836
1381.6377607354777,1448.6382146865851,1527.8212516694857,1553.0481961831736
1378.9929322056057,1447.9328737180856,1521.296402829349,1549.402680308579
1381.9870134164985,1451.590451222464,1532.206498905762,1556.035059601495
1382.1187687494696,1451.4143939056185,1533.0188222912996,1555.8669295232285
1379.9764629679544,1451.3925329217718,1526.557991897084,1554.2751101396436
1379.0477688561175,1449.63476199001,1522.121581466409,1551.442662311814
1382.5342766925335,1449.3306309148184,1532.5885469331988,1554.6416963457496
1380.858572157539,1448.9194700838877,1526.487326464888,1552.1997986952508
1381.3947073055856,1448.3147980251147,1527.4179348545551,1552.4130274683114
1380.115531769353,1449.854584891774,1525.9698804938055,1552.297121076274
1379.0133480910933,1451.49146497806,1521.632008174865,1554.4218550948929
1379.6102404339958,1449.683054494035,1523.2872682696316,1551.949725182158
1378.844206331001,1451.1406744986275,1520.9584211941974,1553.7932860217807
1380.6890620780778,1450.1124732978305,1528.2623594137297,1552.9787431326536
1379.0680600423793,1450.1897222210878,1520.5604752706024,1552.5992356533277
1381.2628584695044,1448.2758873326331,1527.4605732131342,1552.1392746687561
1380.1240828866369,1449.1792122556205,1525.5437093088271,1551.5555745410918
1378.8237167983107,1447.5647200299547,1521.1060602982152,1548.803361177241
1380.464582410517,1451.9028467232165,1527.2296370588326,1555.5136930870174
1382.380796577421,1452.1052655843382,1533.6537058564015,1557.0600368898906
1379.7119862485085,1450.4152249270721,1525.0219398980917,1552.7565507952481
1380.9975363670928,1448.2185407991628,1527.162079922114,1551.6731104434432
1381.794213693551,1451.838696139845,1531.659977937132,1556.2096415511016
1381.8365353824597,1452.074550776303,1531.719271273792,1556.6019430534438
1379.5367411250847,1449.1860923346107,1524.5722254332866,1550.9578386022408
1381.293756088442,1447.8014597424437,1527.589444452457,1551.8217712714759
1379.8290337204196,1447.7977703405713,1523.0342841102051,1550.1189279406576
1381.0643750064767,1450.2704581152182,1528.0458170997501,1553.7376390458583
1382.3151160819264,1449.4615651251545,1531.1811646521553,1554.4737752042674
1378.6417814649917,1451.0489778665917,1520.905860217047,1553.4540530381178
1378.9134877659121,1447.9236812992,1521.526488126103,1549.2361971723412
1382.091735639357,1450.0858194960701,1530.7972052159346,1554.677580665715
1380.5993721248033,1451.8322054432626,1527.645035231884,1555.4668132282388
1381.3335533452396,1451.413781554245,1530.110664855994,1555.260125881314
1381.5510469866185,1452.003345062235,1530.7569900750395,1556.297593434552
1380.6563985097937,1448.3125956508513,1527.016225064367,1551.204224540274
1380.4302338288817,1451.4552988843345,1526.0009364824177,1554.976192759726
1379.2000633444636,1451.725710561791,1522.0963232990566,1554.9176148200845
1379.982484103844,1451.8884853576237,1525.6152970610215,1555.2879659367482
1380.9787762763563,1449.543524306821,1527.9276577788273,1552.7889790018946
1381.7691750920362,1449.791096986733,1530.3563667553917,1553.9137337183035
1379.3099682583863,1449.8059568692404,1523.5248617193522,1551.7061284348536
1382.3023251739305,1450.420313027886,1532.0501121717966,1555.1805918989235
1381.9426241636424,1451.7701413060456,1531.8545432010587,1556.2777976636573
1379.8290506398494,1450.8108488843948,1525.0685969961462,1553.4730605577893
1381.1606994627862,1450.6740962350348,1530.3389196850105,1553.9885537497285
