pH,pH_lower_upper,pL,pL_lower_upper
1463.1338098461877,"(21.076521562710695, 17.55789502822131)",1409.9034978229377,"(44.51012235524445, 9.077572444172802)"
17.512160781574575,"(16.278629061908426, 16.823951650463254)",56.78897312485474,"(56.788973124854216, 23.091262829504963)"
