"[0, 0, 0]","[0, 0, 1]","[0,1,1]","[1,1,1]"
1382.9137730951732,1386.9814122715504,1389.0656996484802,1390.5775295048952
1451.5940003261355,1458.4016841743971,1447.4571578988591,1438.8172578662634
1533.5302524772576,1505.237163180177,1502.312784820488,1503.4081239942461
1557.2340008767608,1515.9804663570271,NaN,1520.4279777193442
