pH,pH_lower_upper,pL,pL_lower_upper
1457.4939885969718,"(24.3944933775183, 20.38022336623544)",1411.7020435530378,"(56.354936013300176, 10.141913798039468)"
18.259054590878947,"(12.811770356194032, 18.319934679633413)",58.70492566573,"(58.704925665729704, 23.426219108345606)"
